pop_edu_attain_id,state_id,state_name,state_edu_attained,state_edu_attained_count,state_edu_attained_percentage,education_id
170,23,Louisiana,9th to 12th Grade,309693,0.0991,1
171,23,Louisiana,High School Graduate,1061390,0.3396,3
172,23,Louisiana,Some College,654347,0.2094,4
173,23,Louisiana,Associates Degree,194127,0.0621,5
174,23,Louisiana,Bachelors Degree,490514,0.157,6
175,23,Louisiana,Graduate Degree,263071,0.0842,7
176,25,Kentucky,Less Than 9th Grade,166412,0.0551,1
177,25,Kentucky,9th to 12th Grade,248372,0.0823,1
178,25,Kentucky,High School Graduate,993098,0.3289,3
179,25,Kentucky,Some College,628993,0.2083,4
180,25,Kentucky,Associates Degree,251136,0.0832,5
181,25,Kentucky,Bachelors Degree,428846,0.142,6
182,25,Kentucky,Graduate Degree,302236,0.1001,7
183,38,Oregon,Less Than 9th Grade,102714,0.0354,1
184,38,Oregon,9th to 12th Grade,166536,0.0574,1
185,38,Oregon,High School Graduate,659085,0.2274,3
186,38,Oregon,Some College,737003,0.2542,4
187,38,Oregon,Associates Degree,257692,0.0889,5
188,38,Oregon,Bachelors Degree,603359,0.2081,6
189,38,Oregon,Graduate Degree,372561,0.1285,7
190,24,Oklahoma,Less Than 9th Grade,104449,0.0403,1
191,24,Oklahoma,9th to 12th Grade,206004,0.0795,1
192,24,Oklahoma,High School Graduate,812102,0.3133,3
193,24,Oklahoma,Some College,604637,0.2333,4
194,24,Oklahoma,Associates Degree,203387,0.0785,5
195,24,Oklahoma,Bachelors Degree,436601,0.1684,6
196,24,Oklahoma,Graduate Degree,224908,0.0868,7
197,34,Connecticut,Less Than 9th Grade,99837,0.0402,1
198,34,Connecticut,9th to 12th Grade,132826,0.0535,1
199,34,Connecticut,High School Graduate,666828,0.2685,3
200,34,Connecticut,Some College,416175,0.1676,4
201,34,Connecticut,Associates Degree,191964,0.0773,5
202,34,Connecticut,Bachelors Degree,541380,0.218,6
203,34,Connecticut,Graduate Degree,434085,0.1748,7
204,27,Utah,Less Than 9th Grade,48701,0.0267,1
205,27,Utah,9th to 12th Grade,92099,0.0505,1
206,27,Utah,High School Graduate,416545,0.2284,3
207,27,Utah,Some College,469224,0.2572,4
208,27,Utah,Associates Degree,176978,0.097,5
209,27,Utah,Bachelors Degree,410803,0.2252,6
210,27,Utah,Graduate Degree,209702,0.115,7
211,52,Puerto Rico,Less Than 9th Grade,358915,0.153,1
212,52,Puerto Rico,9th to 12th Grade,191267,0.0815,1
213,52,Puerto Rico,High School Graduate,655680,0.2795,3
214,52,Puerto Rico,Some College,290203,0.1237,4
215,52,Puerto Rico,Associates Degree,243011,0.1036,5
216,52,Puerto Rico,Bachelors Degree,433178,0.1846,6
217,52,Puerto Rico,Graduate Degree,173705,0.074,7
218,33,Nevada,Less Than 9th Grade,112207,0.0549,1
219,33,Nevada,9th to 12th Grade,159925,0.0782,1
220,33,Nevada,High School Graduate,574254,0.2809,3
221,33,Nevada,Some College,521900,0.2552,4
222,33,Nevada,Associates Degree,170718,0.0835,5
223,33,Nevada,Bachelors Degree,330222,0.1615,6
224,33,Nevada,Graduate Degree,175469,0.0858,7
225,28,Iowa,Less Than 9th Grade,63936,0.0306,1
226,28,Iowa,9th to 12th Grade,101578,0.0485,1
227,28,Iowa,High School Graduate,648398,0.3098,3
228,28,Iowa,Some College,438917,0.2097,4
229,28,Iowa,Associates Degree,242125,0.1157,5
230,28,Iowa,Bachelors Degree,403801,0.1929,6
231,28,Iowa,Graduate Degree,194030,0.0927,7
232,30,Arkansas,Less Than 9th Grade,97346,0.0484,1
233,30,Arkansas,9th to 12th Grade,172822,0.0859,1
234,30,Arkansas,High School Graduate,684659,0.3403,3
235,30,Arkansas,Some College,449597,0.2235,4
236,30,Arkansas,Associates Degree,143979,0.0716,5
237,30,Arkansas,Bachelors Degree,297250,0.1478,6
238,30,Arkansas,Graduate Degree,165986,0.0825,7
239,31,Mississippi,Less Than 9th Grade,99936,0.0506,1
240,31,Mississippi,9th to 12th Grade,206169,0.1044,1
241,31,Mississippi,High School Graduate,601355,0.3044,3
242,31,Mississippi,Some College,440191,0.2228,4
243,31,Mississippi,Associates Degree,192866,0.0976,5
244,31,Mississippi,Bachelors Degree,269736,0.1365,6
245,31,Mississippi,Graduate Degree,165417,0.0837,7
246,32,Kansas,Less Than 9th Grade,68104,0.0358,1
247,32,Kansas,9th to 12th Grade,104022,0.0547,1
248,32,Kansas,High School Graduate,492807,0.2591,3
249,32,Kansas,Some College,437157,0.2298,4
250,32,Kansas,Associates Degree,165119,0.0868,5
251,32,Kansas,Bachelors Degree,400938,0.2108,6
252,32,Kansas,Graduate Degree,234132,0.1231,7
253,36,New Mexico,Less Than 9th Grade,84492,0.0602,1
254,36,New Mexico,9th to 12th Grade,117758,0.0839,1
255,36,New Mexico,High School Graduate,371338,0.2646,3
256,36,New Mexico,Some College,328226,0.2339,4
257,36,New Mexico,Associates Degree,118038,0.0841,5
258,36,New Mexico,Bachelors Degree,215662,0.1537,6
259,36,New Mexico,Graduate Degree,167857,0.1196,7
260,35,Nebraska,Less Than 9th Grade,47833,0.0382,1
261,35,Nebraska,9th to 12th Grade,59702,0.0477,1
262,35,Nebraska,High School Graduate,326594,0.2611,3
263,35,Nebraska,Some College,285487,0.2282,4
264,35,Nebraska,Associates Degree,132185,0.1057,5
265,35,Nebraska,Bachelors Degree,262614,0.2099,6
266,35,Nebraska,Graduate Degree,136611,0.1092,7
267,37,Idaho,Less Than 9th Grade,37255,0.0334,1
268,37,Idaho,9th to 12th Grade,65674,0.0589,1
269,37,Idaho,High School Graduate,305181,0.2736,3
270,37,Idaho,Some College,290307,0.2602,4
271,37,Idaho,Associates Degree,109602,0.0982,5
272,37,Idaho,Bachelors Degree,207179,0.1857,6
273,37,Idaho,Graduate Degree,100358,0.09,7
274,39,West Virginia,Less Than 9th Grade,55033,0.0427,1
275,39,West Virginia,9th to 12th Grade,113591,0.0882,1
276,39,West Virginia,High School Graduate,519091,0.4032,3
277,39,West Virginia,Some College,239826,0.1863,4
278,39,West Virginia,Associates Degree,94488,0.0734,5
279,39,West Virginia,Bachelors Degree,159196,0.1237,6
280,39,West Virginia,Graduate Degree,106202,0.0825,7
281,50,Hawaii,Less Than 9th Grade,36701,0.037,1
282,50,Hawaii,9th to 12th Grade,43020,0.0433,1
283,50,Hawaii,High School Graduate,271648,0.2736,3
284,50,Hawaii,Some College,207661,0.2091,4
285,50,Hawaii,Associates Degree,106509,0.1073,5
286,50,Hawaii,Bachelors Degree,215777,0.2173,6
287,50,Hawaii,Graduate Degree,111689,0.1125,7
288,45,New Hampshire,Less Than 9th Grade,20410,0.0213,1
289,45,New Hampshire,9th to 12th Grade,45796,0.0477,1
290,45,New Hampshire,High School Graduate,263321,0.2742,3
291,45,New Hampshire,Some College,177410,0.1847,4
292,45,New Hampshire,Associates Degree,97663,0.1017,5
293,45,New Hampshire,Bachelors Degree,218013,0.227,6
294,45,New Hampshire,Graduate Degree,137724,0.1434,7
295,48,Maine,Less Than 9th Grade,24984,0.0256,1
296,48,Maine,9th to 12th Grade,47001,0.0482,1
297,48,Maine,High School Graduate,306589,0.3147,3
298,48,Maine,Some College,187750,0.1927,4
299,48,Maine,Associates Degree,97905,0.1005,5
300,48,Maine,Bachelors Degree,194761,0.1999,6
301,48,Maine,Graduate Degree,115127,0.1182,7
302,42,Montana,Less Than 9th Grade,13743,0.019,1
303,42,Montana,9th to 12th Grade,32907,0.0455,1
304,42,Montana,High School Graduate,208541,0.2883,3
305,42,Montana,Some College,169484,0.2343,4
306,42,Montana,Associates Degree,66951,0.0926,5
307,42,Montana,Bachelors Degree,155230,0.2146,6
308,42,Montana,Graduate Degree,76439,0.1057,7
309,40,Rhode Island,Less Than 9th Grade,37440,0.0508,1
310,40,Rhode Island,9th to 12th Grade,45027,0.0611,1
311,40,Rhode Island,High School Graduate,208387,0.2827,3
312,40,Rhode Island,Some College,132485,0.1797,4
313,40,Rhode Island,Associates Degree,61743,0.0838,5
314,40,Rhode Island,Bachelors Degree,150150,0.2037,6
315,40,Rhode Island,Graduate Degree,101968,0.1383,7
316,44,Delaware,Less Than 9th Grade,23675,0.0354,1
317,44,Delaware,9th to 12th Grade,43141,0.0645,1
318,44,Delaware,High School Graduate,209449,0.3129,3
319,44,Delaware,Some College,126281,0.1887,4
320,44,Delaware,Associates Degree,52636,0.0786,5
321,44,Delaware,Bachelors Degree,124632,0.1862,6
322,44,Delaware,Graduate Degree,89506,0.1337,7
323,41,South Dakota,Less Than 9th Grade,17046,0.0298,1
324,41,South Dakota,9th to 12th Grade,30195,0.0528,1
325,41,South Dakota,High School Graduate,173079,0.3024,3
326,41,South Dakota,Some College,120919,0.2113,4
327,41,South Dakota,Associates Degree,66074,0.1154,5
328,41,South Dakota,Bachelors Degree,113870,0.1989,6
329,41,South Dakota,Graduate Degree,51210,0.0895,7
330,43,North Dakota,Less Than 9th Grade,15165,0.0306,1
331,43,North Dakota,9th to 12th Grade,21229,0.0429,1
332,43,North Dakota,High School Graduate,130842,0.2643,3
333,43,North Dakota,Some College,110569,0.2233,4
334,43,North Dakota,Associates Degree,68506,0.1384,5
335,43,North Dakota,Bachelors Degree,107938,0.218,6
336,43,North Dakota,Graduate Degree,40819,0.0825,7
337,46,Alaska,Less Than 9th Grade,12046,0.0251,1
338,46,Alaska,9th to 12th Grade,22330,0.0465,1
339,46,Alaska,High School Graduate,134582,0.28,3
340,46,Alaska,Some College,128500,0.2674,4
341,46,Alaska,Associates Degree,41109,0.0855,5
342,46,Alaska,Bachelors Degree,88058,0.1832,6
343,46,Alaska,Graduate Degree,53961,0.1123,7
344,49,District of Columbia,Less Than 9th Grade,18258,0.037,1
345,49,District of Columbia,9th to 12th Grade,26592,0.0538,1
346,49,District of Columbia,High School Graduate,83185,0.1684,3
347,49,District of Columbia,Some College,62030,0.1255,4
348,49,District of Columbia,Associates Degree,14792,0.0299,5
349,49,District of Columbia,Bachelors Degree,122380,0.2477,6
350,49,District of Columbia,Graduate Degree,166879,0.3377,7
351,51,Vermont,Less Than 9th Grade,9874,0.0224,1
352,51,Vermont,9th to 12th Grade,22402,0.0509,1
353,51,Vermont,High School Graduate,126832,0.288,3
354,51,Vermont,Some College,75351,0.1711,4
355,51,Vermont,Associates Degree,38518,0.0874,5
356,51,Vermont,Bachelors Degree,99016,0.2248,6
357,51,Vermont,Graduate Degree,68467,0.1554,7
358,47,Wyoming,Less Than 9th Grade,7025,0.018,1
359,47,Wyoming,9th to 12th Grade,19663,0.0504,1
360,47,Wyoming,High School Graduate,113535,0.2907,3
361,47,Wyoming,Some College,99677,0.2552,4
362,47,Wyoming,Associates Degree,43761,0.1121,5
363,47,Wyoming,Bachelors Degree,68269,0.1748,6
364,47,Wyoming,Graduate Degree,38586,0.0988,7
