state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female
Iowa,High School Grad,32597,40799,24746
Iowa,Some College,37900,46621,30589
Iowa,Bachelors Degree,51947,63035,43412
Iowa,Graduate Degree,67050,79523,61037
Arkansas,Overall,34326,40145,29731
Arkansas,Less Than High School,24263,27237,19090
Arkansas,High School Grad,29034,33799,22919
Arkansas,Some College,32053,40068,27468
Arkansas,Bachelors Degree,47466,58917,41082
Arkansas,Graduate Degree,61057,76266,53961
Mississippi,Overall,32892,40407,27936
Mississippi,Less Than High School,21933,26974,15938
Mississippi,High School Grad,27454,33197,21223
Mississippi,Some College,31773,41202,26416
Mississippi,Bachelors Degree,43511,54644,37892
Mississippi,Graduate Degree,55505,71607,50424
Kansas,Overall,40100,47487,32006
Kansas,Less Than High School,26088,31079,18536
Kansas,High School Grad,30998,37875,23205
Kansas,Some College,36097,44471,29414
Kansas,Bachelors Degree,50394,63214,41623
Kansas,Graduate Degree,62748,79448,54117
New Mexico,Overall,33514,39841,29204
New Mexico,Less Than High School,20375,25024,14595
New Mexico,High School Grad,27471,31778,22354
New Mexico,Some College,31676,40028,26538
New Mexico,Bachelors Degree,45594,51925,41214
New Mexico,Graduate Degree,62125,79877,55121
Nebraska,Overall,40341,47224,32487
Nebraska,Less Than High School,26610,31204,20127
Nebraska,High School Grad,31488,38657,24695
Nebraska,Some College,37348,46021,30342
Nebraska,Bachelors Degree,50424,60978,42926
Nebraska,Graduate Degree,63653,76298,57074
Idaho,Overall,35182,42810,27039
Idaho,Less Than High School,25298,30728,17163
Idaho,High School Grad,30417,36137,22015
Idaho,Some College,32256,41902,25531
Idaho,Bachelors Degree,45248,58261,36034
Idaho,Graduate Degree,62750,76910,51312
West Virginia,Overall,34438,42424,27777
West Virginia,Less Than High School,21292,26282,15450
West Virginia,High School Grad,29353,37571,22263
West Virginia,Some College,32352,43719,26566
West Virginia,Bachelors Degree,44906,53851,39036
West Virginia,Graduate Degree,56808,71106,51815
Hawaii,Overall,42588,48912,37696
Hawaii,Less Than High School,27361,31053,24860
Hawaii,High School Grad,34129,39132,30106
Hawaii,Some College,40528,47559,34880
Hawaii,Bachelors Degree,51652,61224,45553
Hawaii,Graduate Degree,70271,82246,61958
New Hampshire,Overall,46221,54113,38410
New Hampshire,Less Than High School,29284,33198,22771
New Hampshire,High School Grad,36311,43164,28547
New Hampshire,Some College,42222,51980,34787
New Hampshire,Bachelors Degree,57385,74158,46179
New Hampshire,Graduate Degree,72303,93432,62232
Maine,Overall,38146,43881,32118
Maine,Less Than High School,23228,26783,17488
Maine,High School Grad,30626,36683,24170
Maine,Some College,35985,43752,30506
Maine,Bachelors Degree,45866,54630,39732
Maine,Graduate Degree,60244,70280,54835
Montana,Overall,35249,42097,29751
Montana,Less Than High School,21008,27006,14910
Montana,High School Grad,29187,35589,22431
Montana,Some College,31875,40302,26735
Montana,Bachelors Degree,42388,51534,37148
Montana,Graduate Degree,57471,68343,51624
Rhode Island,Overall,45211,52335,39084
Rhode Island,Less Than High School,27880,31891,21758
Rhode Island,High School Grad,36009,42551,29769
Rhode Island,Some College,40976,49586,35313
Rhode Island,Bachelors Degree,56642,68194,49041
Rhode Island,Graduate Degree,76777,87644,69972
Delaware,Overall,42893,48734,37334
Delaware,Less Than High School,27060,31458,21011
Delaware,High School Grad,32656,40373,27175
Delaware,Some College,39090,45928,32950
Delaware,Bachelors Degree,57420,66333,50628
Delaware,Graduate Degree,72013,85304,65156
South Dakota,Overall,37880,44160,31220
South Dakota,Less Than High School,25740,29366,19485
South Dakota,High School Grad,31248,38115,24335
South Dakota,Some College,36300,44336,30048
South Dakota,Bachelors Degree,45948,54319,39879
South Dakota,Graduate Degree,57538,66625,52762
North Dakota,Overall,43752,52211,35285
North Dakota,Less Than High School,30865,39464,19820
North Dakota,High School Grad,36245,43971,26044
North Dakota,Some College,41707,52032,31612
North Dakota,Bachelors Degree,51227,62903,44313
North Dakota,Graduate Degree,65538,77319,59002
Alaska,Overall,46748,53776,38707
Alaska,Less Than High School,25297,28833,21279
Alaska,High School Grad,36261,42097,27295
Alaska,Some College,44630,53836,36263
Alaska,Bachelors Degree,57703,69741,48429
Alaska,Graduate Degree,76638,87626,70144
District of Columbia,Overall,64827,71575,60284
District of Columbia,Less Than High School,25459,29132,21664
District of Columbia,High School Grad,31226,32183,30098
District of Columbia,Some College,41102,42372,39465
District of Columbia,Bachelors Degree,69745,77874,62978
District of Columbia,Graduate Degree,97039,106773,87323
Vermont,Overall,40321,45066,35481
Vermont,Less Than High School,26777,30672,16845
Vermont,High School Grad,32404,38289,26416
Vermont,Some College,38234,44445,32745
Vermont,Bachelors Degree,44606,53240,39314
Vermont,Graduate Degree,61517,73233,54726
Wyoming,Overall,40825,51422,30797
Wyoming,Less Than High School,26671,32896,18191
Wyoming,High School Grad,34778,47373,23504
Wyoming,Some College,37699,51439,28739
Wyoming,Bachelors Degree,49141,55557,43077
Wyoming,Graduate Degree,62430,68893,57694
