state_name,state_edu_attained,state_edu_attained_count,state_edu_attained_percentage
Kansas,High School Graduate,492807.0,0.2591
Kansas,Some College,437157.0,0.2298
Kansas,Associates Degree,165119.0,0.0868
Kansas,Bachelors Degree,400938.0,0.2108
Kansas,Graduate Degree,234132.0,0.1231
New Mexico,Less Than 9th Grade,84492.0,0.0602
New Mexico,9th to 12th Grade,117758.0,0.0839
New Mexico,High School Graduate,371338.0,0.2646
New Mexico,Some College,328226.0,0.2339
New Mexico,Associates Degree,118038.0,0.0841
New Mexico,Bachelors Degree,215662.0,0.1537
New Mexico,Graduate Degree,167857.0,0.1196
Nebraska,Less Than 9th Grade,47833.0,0.0382
Nebraska,9th to 12th Grade,59702.0,0.0477
Nebraska,High School Graduate,326594.0,0.2611
Nebraska,Some College,285487.0,0.2282
Nebraska,Associates Degree,132185.0,0.1057
Nebraska,Bachelors Degree,262614.0,0.2099
Nebraska,Graduate Degree,136611.0,0.1092
Idaho,Less Than 9th Grade,37255.0,0.0334
Idaho,9th to 12th Grade,65674.0,0.0589
Idaho,High School Graduate,305181.0,0.2736
Idaho,Some College,290307.0,0.2602
Idaho,Associates Degree,109602.0,0.0982
Idaho,Bachelors Degree,207179.0,0.1857
Idaho,Graduate Degree,100358.0,0.09
West Virginia,Less Than 9th Grade,55033.0,0.0427
West Virginia,9th to 12th Grade,113591.0,0.0882
West Virginia,High School Graduate,519091.0,0.4032
West Virginia,Some College,239826.0,0.1863
West Virginia,Associates Degree,94488.0,0.0734
West Virginia,Bachelors Degree,159196.0,0.1237
West Virginia,Graduate Degree,106202.0,0.0825
Hawaii,Less Than 9th Grade,36701.0,0.037
Hawaii,9th to 12th Grade,43020.0,0.0433
Hawaii,High School Graduate,271648.0,0.2736
Hawaii,Some College,207661.0,0.2091
Hawaii,Associates Degree,106509.0,0.1073
Hawaii,Bachelors Degree,215777.0,0.2173
Hawaii,Graduate Degree,111689.0,0.1125
New Hampshire,Less Than 9th Grade,20410.0,0.0213
New Hampshire,9th to 12th Grade,45796.0,0.0477
New Hampshire,High School Graduate,263321.0,0.2742
New Hampshire,Some College,177410.0,0.1847
New Hampshire,Associates Degree,97663.0,0.1017
New Hampshire,Bachelors Degree,218013.0,0.227
New Hampshire,Graduate Degree,137724.0,0.1434
Maine,Less Than 9th Grade,24984.0,0.0256
Maine,9th to 12th Grade,47001.0,0.0482
Maine,High School Graduate,306589.0,0.3147
Maine,Some College,187750.0,0.1927
Maine,Associates Degree,97905.0,0.1005
Maine,Bachelors Degree,194761.0,0.1999
Maine,Graduate Degree,115127.0,0.1182
Montana,Less Than 9th Grade,13743.0,0.019
Montana,9th to 12th Grade,32907.0,0.0455
Montana,High School Graduate,208541.0,0.2883
Montana,Some College,169484.0,0.2343
Montana,Associates Degree,66951.0,0.0926
Montana,Bachelors Degree,155230.0,0.2146
Montana,Graduate Degree,76439.0,0.1057
Rhode Island,Less Than 9th Grade,37440.0,0.0508
Rhode Island,9th to 12th Grade,45027.0,0.0611
Rhode Island,High School Graduate,208387.0,0.2827
Rhode Island,Some College,132485.0,0.1797
Rhode Island,Associates Degree,61743.0,0.0838
Rhode Island,Bachelors Degree,150150.0,0.2037
Rhode Island,Graduate Degree,101968.0,0.1383
Delaware,Less Than 9th Grade,23675.0,0.0354
Delaware,9th to 12th Grade,43141.0,0.0645
Delaware,High School Graduate,209449.0,0.3129
Delaware,Some College,126281.0,0.1887
Delaware,Associates Degree,52636.0,0.0786
Delaware,Bachelors Degree,124632.0,0.1862
Delaware,Graduate Degree,89506.0,0.1337
South Dakota,Less Than 9th Grade,17046.0,0.0298
South Dakota,9th to 12th Grade,30195.0,0.0528
South Dakota,High School Graduate,173079.0,0.3024
South Dakota,Some College,120919.0,0.2113
South Dakota,Associates Degree,66074.0,0.1154
South Dakota,Bachelors Degree,113870.0,0.1989
South Dakota,Graduate Degree,51210.0,0.0895
North Dakota,Less Than 9th Grade,15165.0,0.0306
North Dakota,9th to 12th Grade,21229.0,0.0429
North Dakota,High School Graduate,130842.0,0.2643
North Dakota,Some College,110569.0,0.2233
North Dakota,Associates Degree,68506.0,0.1384
North Dakota,Bachelors Degree,107938.0,0.218
North Dakota,Graduate Degree,40819.0,0.0825
Alaska,Less Than 9th Grade,12046.0,0.0251
Alaska,9th to 12th Grade,22330.0,0.0465
Alaska,High School Graduate,134582.0,0.28
Alaska,Some College,128500.0,0.2674
Alaska,Associates Degree,41109.0,0.0855
Alaska,Bachelors Degree,88058.0,0.1832
Alaska,Graduate Degree,53961.0,0.1123
District of Columbia,Less Than 9th Grade,18258.0,0.037
District of Columbia,9th to 12th Grade,26592.0,0.0538
District of Columbia,High School Graduate,83185.0,0.1684
District of Columbia,Some College,62030.0,0.1255
District of Columbia,Associates Degree,14792.0,0.0299
District of Columbia,Bachelors Degree,122380.0,0.2477
District of Columbia,Graduate Degree,166879.0,0.3377
Vermont,Less Than 9th Grade,9874.0,0.0224
Vermont,9th to 12th Grade,22402.0,0.0509
Vermont,High School Graduate,126832.0,0.288
Vermont,Some College,75351.0,0.1711
Vermont,Associates Degree,38518.0,0.0874
Vermont,Bachelors Degree,99016.0,0.2248
Vermont,Graduate Degree,68467.0,0.1554
Wyoming,Less Than 9th Grade,7025.0,0.018
Wyoming,9th to 12th Grade,19663.0,0.0504
Wyoming,High School Graduate,113535.0,0.2907
Wyoming,Some College,99677.0,0.2552
Wyoming,Associates Degree,43761.0,0.1121
Wyoming,Bachelors Degree,68269.0,0.1748
Wyoming,Graduate Degree,38586.0,0.0988
